 even for bamboo shoots, there's no escape , floating world,
 even for me, there's a guardian god , blossoming spring,
 even for me , fabulously expensive, fireworks ,
 even for my truly, crappy hut now , a green willow ,
 even for paper robe, wearers , fashion trends,
 even for priests, and lay priests , new summer robes,
 even for silver dewdrops, gibberish, rolling down,
 even for stealing water, for my rice field , i take my parasol,
 even for the dog, they toss a new year's gift , temple,
 even for the god, of the outhouse , plum blossoms,
 even for the holy hermit, today a square, of zoni ,
 even for the horse, a dose of burning wormwood , spring breeze,
 even for the man, pooping in the field , new year's pine,
 even for the meadow, butterflies , the day is long,
 even for the tongue tied, crow of the east , spring's first dawn,
 even for this body of dust, a guardian god , blossoming spring,
 even for washing, four or five radishes , hired help,
 even for winter's withering, an indifferent face , sea gull,
 even from falling rain, stabbing, cold,
 even from my sleeves, fog rising , mountain road,
 even from the gable, clear blue sky , a spring day,
 even grandpa wears, a lost child sign , umbrella hatted blossom viewer,
 even grass and vines, don't part willingly , lantern for the dead,
 even green grass, rustles only for money , cool air at the gate,
 even he loses, his world weary expression , new summer robe,
 even here, a holy image enshrined, plum blossoms,
 even holy jizo, bewitches people , autumn dusk,
 even holy jizo, is looking older , fallen leaves,
 even i, have no objection,  happy new year ,
 even if i touch her, this tree rejects me , evening cool,
 even if winter rain falls, i'll save this one, radish,
 even in a back alley house, edo is edo , the doll festival ,
 even in a field, a line of beggars , spring equinox,
 even in a mountain village, a public bath is ready , spring rain,
 even in a sparse thicket,  this is our night , croak the frogs,
 even in falling rain, satisfied faces , blossom shade,
 even in little nooks, green willows , kyoto,
 even in mountain shade, a taste of edo , first bonito,
 even in mountain shade, is it peach day , sugar vendor,
 even in mountain shade, a plowed field , the pheasant cries,
 even in our faces, the year's first dawn , the emperor's pine,
 even in sarashina, one by one , rainy autumn nights,
 even in sleep, pigeons come to coo , cherry blossoms,
 even in spring, a snowstorm's thunder , shinano mountain,
 even in spring mist, it's snow covered , my home,
 even in the barn's shade, if there's grass, there's autumn blooms,
 even in the mist, my village, is a mess,
 even in the mist, my house, is a mess,
 even in the mouth, of the gutter pipe , lotuses,
 even in the rushes, if the moon is shining , pure water,
 even in the sky, buddha dwells , wildflowers,
 even in the thicket, beyond the bramble gate, a little chrysanthemum,
 even in the tub, where reeds are burning , a plover ,
 even in the well bucket, croaking all night , a frog,
 even in this far off, mountain village , paper fans from edo,
 even in yoshiwara, in a one ply wall, plovers in the night,
 even kisa lagoon, isn't hateful today , blossoming spring,
 even living, in katsushika ,  cuckoo ,
 even lotus blossoms, bend a bit , oh floating world ,
 even lying down, he's buddha , shower of blossoms,
 even mount fuji, makes the list , new year's inventory,
 even mr moon, is slandered , evening cool,
 even my house, is all decked out , the emperor's spring,
 even my inner devil , come out look , blossoming mountain,
 even my plum tree, in its own sweet time, has bloomed ,
 even my ramshackle, hut home, to the new year's god,
 even my sleeve, is one with the mist , evening,
 even new leaves, are shady characters , potted tree,
 even newborn leaves, turned red , fall like tears,
 even no good me, somehow pulls it off , a new summer robe,
 even on a fast day, this world's hell, is hell,
 even on a hot day, out for the children , swallows,
 even on his arms, dewdrops, the tea seller,
 even on honen's death day , shaky feet, shaky hands,
 even on new year's day, around here edo, is countrified,
 even on the ancestors' altar, they wriggle , maiden flowers ,
 even on the grafted willow, so quick , thick summer grasses,
 even on the little islands, buddha's law , swallows,
 even on the rice field, workers , dewdrops form,
 even on the water bucket, the war lord's crest , plum blossoms,
 even one penny, fireworks , ooo ahh ,
 even our fleeting snow, becomes, buddha ,
 even pigeons, line up for their share , patriarch's gruel,
 even pissing, should be done with care , spring's first dawn,
 even plume grass, waves farewell farewell , to autumn,
 even poorly planted, rice plants, slowly slowly green ,
 even popeyed emma, hell's judge gawks , cherry blossoms ,
 even pounding rice cakes, at my hut i chant,  great japan ,
 even snake sushi, is given a try , winter medicine,
 even soot sweeping, on an unlucky day , so much harder ,
 even the bag, the charcoal came in, burned tonight ,
 even the bald mountain, isn't left out , evening cloth pounding,
 even the beggar, hopes to get rich , god of wealth singers,
 even the black lacquered, horse is glittering , plum blossoms,
 even the black lacquered, horse flashes bright , plum blossoms,
 even the bracken, are like nails , kyoto,
 even the branches, viewed from the second floor , fifth month rain,
 even the buck's antlers, are a plaything , little butterfly,
 even the buddha, ventures outside , clear fall weather,
 even the candy stand, decked with flowers , the founder's image,
 even the cart man, wears a courtier's hat , plum blossoms,
 even the cat, who ate her kittens , look poppies,
 even the cat, lines up for his share , taking medicine,
 even the charcoal kiln, invariably, has neighbors,
 even the clams, are related to the great, men of old,
 even the clay doll, is decked with flowers , festival,
 even the cloudburst, shows the facing mountain, favoritism,
 even the cool breeze, doesn't feel right , a crow caws,
 even the cormorants, on holiday today , festival,
 even the crow, has a grove, to grow old in,
 even the deer , parents child, a family of three,
 even the deutzia shrub, is moved to tears , the toad's grave,
 even the dog, becomes a beneficiary , harvested rice,
 even the dog, gets a souvenir , winter prayers,
 even the eaves' thatch, chopsticks, of plume grass,
 even the field mouse, squeaks what luck , spring rain,
 even the field's, radishes blooming , the lark singing ,
 even the field's, radishes are blooming , the lark singing ,
 even the fifth month rain, takes a day off, today,
 even the frog's eyes, can't turn away , cherry blossoms ,
 even the grasses, that stab people, clumsily wither,
 even the heavenly gods, crowd 'round , plum blossoms,
 even the horse's, hair is done up , irises,
 even the horses, sleep in light green, mosquito nets ,
 even the hot water vendor, lingers , blossoming mountain,
 even the insects sing ,  it's great tanabata , tanabata ,
 even the kite, of the provincial lord, is bad mouthed,
 even the lap baby, joins in , year's first song,
 even the little bamboo, isn't mine , flitting fireflies,
 even the little girl, poses like a saint , new summer robe,
 even the loafer, looks imperial , new summer robe,
 even the moon, over my home village , brings tears,
 even the moon, is slandered , evening cool,
 even the mosquito hates, thin legs , quickly moving on,
 even the mountain village's, pissing place , a field of flowers,
 even the nettle tree, dressed for spring , croaking frogs,
 even the nightingale, of shinano sings it , lotus sutra,
 even the nightingale, has an apprentice , sitting room,
 even the old cow, has a fly whisking, tail,
 even the old tree, happy happy , fresh green leaves,
 even the old wall, is frugal , fresh green leaves,
 even the outhouse, has a guardian god , plum blossoms,
 even the painted devil, won't look little bird warming, the hawk's nest,
 even the peony's, good karma wears thin , my house ,
 even the pestle, becomes part of the scene , a long night,
 even the pigeon, grumbles , winter rain,
 even the pine tree, i planted grows old , autumn dusk,
 even the pine tree, looks rustic , autumn rain,
 even the poor, workhorses of edo sleep , in mosquito nets ,
 even the priceless nightingale, well , warbles in summer,
 even the puppy, drums his belly , rice blossoms,
 even the replanted, melon blooms , a cold night,
 even the rice cake, has a seat , plum blossoms,
 even the rice grinders, stop singing , cherry blossoms scatter,
 even the roof's moss, blooms, then scatters,
 even the scarecrow, turns his back to it , my home,
 even the servant, poses like a saint , new summer robe,
 even the skinny bamboo, young and fresh , charming ,
 even the smoke, rises anciently , spring begins,
 even the snow falls, graciously , spring's first dawn,
 even the sparrows, partake , bon festival rice,
 even the sparrows, are quarreling , steady winter rain,
 even the stag beetle, calls for a wife , night voices,
 even the stone hard camphor tree, devoured, by insects,
 even the stray cat, begging, for a wife ,
 even the suckling, kitten watches , falling leaf,
 even the sumo wrestler, has a blast , doll festival,
 even the temple tea, makes her laugh , little girl,
 even the thorn bush, bows low , amida's hongan temple,
 even the thorn bush, is blooming , blooming ,
 even the tree by the gate, safe and sound , evening cool,
 even the turtle, wants feathers , the geese depart,
 even the weeds, get a cloudburst, just for them,
 even the wheat, in a morning mood , blue mist,
 even the widow's doll, is served right away , great edo,
 even the wild cat, looks for sex , peeking in the gate,
 even the wild geese, leave it alone , my home,
 even the willow, is lonely , rose of sharon,
 even the youngest child, urges them on , silkworms,
 even their white walls, are slandered , spring mist,
 even to my, biased eyes it's a cold, head ,
 even to my, biased eyes it's a cold, shadow ,
 even to the approaching dog,  who's there , winter quilt,
 even to the old man,  come cries, the baby bird,
 even to these old eyes , cherry blossoms , cherry blossoms ,
 even tortoise and crane, meet their fate , autumn evening,
 even trying on my summer kimono, lonely , higashi mountains,
 even under the eaves, human handiwork , a green rice field,
 even viewing dewdrops, an occasion for sake , this year,
 even viewing the cherry blossoms, costs money , kyoto,
 even water sprinkled, at the gate costs money , life in edo,
 even weeds under the tree, smell nice , plum blossoms,
 even well into, the first month , twelfth month singers ,
 even when planting, two or three eggplants , little butterflies,
 even where i sleep, the fifth month rain, sends its wind,
 even where the puppy, sleeps , red fallen leaves,
 even while falling down,  happy new year , picking herbs,
 even while plucking, the grass at the gate , a parasol,
 even while pooping, reading his almanac , plum blossoms,
 even while walking, through cherry blossoms , nagging ,
 even while yawning, she keeps the tune , tea picking,
 even wild rose buds , all eaten, by people,
 even wild roses, of a downtrodden land, reach enlightenment,
 even with broken, plume grass chopsticks , festival meal,
 even worthless me, is invited , rice planting sake,
 even you, have flea spotting eyes , cuckoo,
 even you mountain cuckoo, visit me , back window,
 even you wolf, go out dressed in a robe , year of the dog,
 evening, is such a downer , meadow butterfly,
 evening , in the area with no pond too, cherry blossoms scatter,
 evening , even for a poor prayer praise buddha , cherry blossoms scatter,
 evening , how the orphan sparrow, cries ,
 evening , a bird of prey flies home, into blossoms,
 evening , in a big sake cup, moon and a flea,
 evening , the wind also chills, the sumo wrestler,
 evening , he wipes horse dung off his hand, with a chrysanthemum,
 evening at the gate , a cool sky, coming soon,
 evening bell , even the clouds convene, at the temple,
 evening cherry blossoms, to the prayer gong's beat, scatter,
 evening cherry blossoms , the ants also, have a place to sleep,
 evening cherry blossoms , people with homes, hurry home,
 evening cherry blossoms , today too, like olden times,
 evening cherry blossoms , people listening, to heavenly music,
 evening cherry blossoms , the devil is moved, to tears,
 evening cicada , a last nearby song, to autumn,
 evening cloth pounding , my wife's tea cakes, are huge ,
 evening cloth pounding , the cat that can't stand it, happy go lucky,
 evening cloth pounding , a cycad tree wrapped, in a reed mat,
 evening cloth pounding , the neighbor's, neighbor,
 evening cool , my umbrella hat left, at the last inn,
 evening cool , with my feet counting, echigo mountains,
 evening cool , tossing water on the, horse's rump,
 evening cool , the toad who comes out, i call lucky ,
 evening cool , a buddha of healing, in a thicket,
 evening cool , fishing for soup stock, in his back door sea,
 evening cool , for each little village, one little hill,
 evening cool , the great high priest, tells jokes,
 evening cool , with my feet counting, the mountains of shinano,
 evening cool , visiting ueno hill, wears me out,
 evening dew , the lamp is lit, in its usual place,
 evening dew hangs, on the man who watches , cormorant boat,
 evening falls , wild geese smoke, and my bended knees,
 evening falls , like demons emerging, autumn clouds,
 evening falls , the kite and the lark, come down,
 evening falls , a stepchild sparrow, cries in the pine,
 evening falls , to the just sold grass, fireflies flit,
 evening falls , me and a scarecrow, just us two,
 evening falls , on the tip of my fan, mount asama,
 evening falls , the whine of mosquitoes, pretty,
 evening falls , fireflies dampen, the thin tatami mat,
 evening fog , the horse remembers, the bridge's hole,
 evening frog, what are you meditating on , meditation bridge,
 evening gloom , a fawn's spots, on the lily,
 evening hut , the fleas jumping, bumpity bump,
 evening lark, don't let the field's smoke, annoy you,
 evening lark , which pine island's, good for sleeping ,
 evening lark , which pine island's, your sleeping place ,
 evening moon , on the harvested rice, a bottle of sake,
 evening moon , surviving the flood, a katydid,
 evening moon , pond snails singing, in the kettle,
 evening moon , the fantastically great, rice blossoms ,
 evening moon , in the cool air, visiting graves,
 evening mountain , how long will the cold wind, blast ,
 evening mountain , the color of buckwheat noodles, first winter rain,
 evening of the year's, last day , flitting snow,
 evening of winter rain , a rice field crane, stands tall,
 evening passes , the house's post crackles, as cold enters,
 evening plovers , bills are due, people are crying,
 evening purification , a splash of water on bamboo, will do,
 evening rain , my next door neighbor, pounding cloth,
 evening rushes in , someone on the tideland, a lark singing,
 evening shadows , separated from his friends, a frog croaks,
 evening shadows , even the poorly growing, moss has bloomed,
 evening shadows , rain pitter patters, on my fan,
 evening shadows , he throws pure water, on the horse,
 evening shadows , a pigeon watches, the melon cool,
 evening sky , the whine of mosquitoes, pretty,
 evening smoke , on the man playing pigeon flute, it hangs,
 evening swallows , no hope for tomorrow, for me,
 evening tide , on the grass blade's tip, a red dragonfly,
 evening wind , for the tree less gate, a tall bon lantern,
 evening wind , the geese turn around, honking,
 evening wind , disease free, the rice field greens,
 evening's fall colors , the rainbow in the valley, fades away,
 evening's glow , the deep deep red, first ice,
 evening's old, summer kimono , my world,
 evening's shrine boats , about ten snipes, stand guard,
 every day, four or five fall , sleeping tree's blossoms,
 every evening, not growing old , blooming bush clover,
 every evening, you're also more depleted , charcoal bag,
 every evening,  rain is coming , cloud watchers,
 every evening, there's a new shit road , cool air,
 every evening, at the canal's edge , evening cool,
 every evening, even in the dirty bamboo , fireflies,
 every evening, my sleep medicine , pufferfish soup,
 every evening, in raindrops from the eaves , spring moon,
 every house on the street, celebrates the festival , clay dolls,
 every little island, fist after fist , autumn dusk,
 every little island, in its own way , autumn dusk,
 every morning, enough for my tea kettle , dew in the grass,
 every time i go out, the horse neighs , a long night,
 every time i put on, the summer kimono , feel old,
 every tree, with its calling card , spring buds,
 everyone keep on, your straw sandals , evening cool,
 everyone kick off, your straw sandals , evening cool,
 everyone outside, under the umbrella tree , spring rain,
 everything has burned, even the blameless, mosquitoes,
 everywhere i look, a decent spring , snow at my gate,
 evicted, from the sunset bell , firefly,
 expecting a night, of spring , night frost,
 exposing my spine, to the spring sun , this year,
 extending from my pillow, in the downpour , plume grass,
 eye catching, over the sunset mountain , a kite,
 eyeing the potato, on the banked fire , crow,
 eyeing the rice cake, on the banked fire , crow,
 eyeing the war lord, from my toasty warm, brazier,
 faces looking like, they've been to zenko temple, baby sparrows,
 faces of devils, faces of foxes , spring breeze,
 faces of morning glories , their cold and fever, cured,
 facing, the beggar's window , plum blossoms,
 facing a house, without sake , night frost,
 facing every which way, frog cousins, and second cousins ,
 facing fences , just three feet wide, the year's first sky,
 facing my way, in the cold rain , a scarecrow,
 facing the cool breeze, straight on , a lake,
 facing the gate, of elder brother , a cold night,
 facing the god, of pear tree hill , deep tree shade,
 facing the mountain, of my home village ,  happy new year ,
 facing the river , next door it seems, echigo mountains,
 faintly heard , one cloth pounder, is mother,
 fair weather by spring's equinox , so they say , liars ,
 falconry , a barley field's rising sun, on one sleeve,
 fall cherry blossoms , stop up, their foul mouths ,
 fall from the sky today , wrinkle curing, medicine,
 fall hailstones , with pillow on his head, a child,
 fall hailstones fall , one in grandchild's, long lobed ear,
 fall quickly hide, my home village , fog and cold rain,
 fall snow , my poor sake bottle, is dry,
 fallen blossoms , the stylish woman leaves, her butt print,
 fallen chestnuts , the crow gets first, dibs,
 fallen face up, but singing , autumn cicada,
 fallen leaves , not a single crow, is irksome,
 fallen leaves , a chrysanthemum blooms, wretchedly,
 falling blossoms ,  i'll conquer you , croaks the frog,
 falling falling, all over the food , cherry blossoms,
 falling on kumasaka's, great halberd , hailstones,
 falling on my feet, as i sleep , night's winter rain,
 falling on only, three houses , steady winter rain,
 falling snow, we'll sleep at my house, maybe tomorrow,
 falling snow , yesterday it wasn't there,  empty house sign,
 falling snow , yesterday it wasn't there,  house for rent sign,
 falling snow , the sound of snowshoes, chomp chomp ,
 falling to my back, spread eagle , cherry blossoms ,
 falling to my back, spread eagle , the cool air,
 familiar grasses, and unfamiliar , the same withering,
 fancy sitting room , even peeling melons, an ordeal,
 fanning his back sores, from burning wormwood , edo paper fan,
 far distance , above green rice fields, three mountains,
 farewell farewell , hands waving, in the mist,
 farewell farewell , the plague god floats away , little child,
 farewell farewell , to the chicken , the skylark flies away,
 farm field , from the tobacco break, a snow melting river,
 farm field , here there and there, chrysanthemums,
 farm field , four or five rustling, lotus blossoms,
 farmers plowing , lying down i watch, lord kaga pass,
 fat and round, the shining moon , the priest's barley field,
 fat little sparrows, in the farm field too , in mist,
 father and son, go their separate ways , blossom viewing,
 father and son's, fart contest , cool air at the gate,
 father frog, quickly takes the seat, of honor,
 father's steady glare, another thing, in the mist,
 favoring, mount akahage , distant cloth pounding,
 fear not , if you sleep in the field, night is short,
 feather light, made of paper , gift of new clothes,
 feeding him grass, farewell farewell , the pony's master,
 feeding on, old basho's legs , evening cool,
 feeding the whole, neighborhood , cherry blossoms,
 feeling afraid , nights of so much sleep, are sinful ,
 feeling chilly, a butterbur leaf for a hat , summer kimono,
 feeling for parched beans, with my feet , a cold night,
 feeling for the stone bridge, with my feet , a cold night,
 feeling for the tobacco tray, with my feet , a cold night,
 festival , tiger lilies princess lilies, hakata lilies,
 festival , cormorants asleep in a row, on holiday,
 festival , for whose treasured child, this red fan ,
 festival , snapping my fan, wore me out,
 festival at the mountain's foot , in the cauldron, an autumn gale,
 festival day , white robed monks, and a white butterfly,
 festival day , even the little clouds, forming peaks,
 festival day , some treasured child's, red fan,
 festival sake, festooned with red leaves , first winter rain,
 field by my hut , no thank you offering, for the scarecrow,
 field of flowers , whose umbrella hat, marked you ,
 fifth month rain , taking his seat on a rock, a toad,
 fifth month rain , time for tobacco, and tinderbox,
 fifth month rain , pressing on my chest, chichibu mountain,
 fifth month rain , the second floor room, has wildflowers ,
 fifth month rain , an incense stick stuck, in the tobacco tray,
 fifth month rain , in a rain barrel, irises,
 fifth month rain , the crow scorns, my thatched house,
 fifth month rain , the five thousand five hundredth, rented umbrella,
 fifth month rain , where's your snow now, shinano mountains ,
 fifth month rain , in the town how long, this flute ban ,
 fifth month rain , postponed by amida, till yesterday,
 fifth month rain , in a mountain field at night, voices,
 fifth month rain , they watch from two houses, wildflowers,
 fifth month rain , not a rock, without azaleas,
 fifty sixty feet away , the willow, the parasols,
 fifty years, of gazing gazing , cherry blossoms ,
 fighting the mountain wind, on foot , a wren,
 filled with floating, morning glories , the teacup,
 filled with shame, flat to the ground , the thief cat,
 filling in, for temple flowers , a willow,
 finalizing the divorce, leaving my house behind , departing geese,
 finally a clear sky, yet no moon , summer mountain,
 fire on field and mountain , at night this world, ain't bad ,
 firefly are you planning, to sleep here , bucket of summer flowers,
 firefly lights , a turtle not called for, close at hand,
 firefly lights , if you keep still, even on your head,
 firefly's light , flitting through my hut, forms a cross,
 fires on the mountain, make it pretty at night , shinano river,
 fires on the mountain , look like buddhas, look like devils,
 firewood piles, one two , ninth month moon,
 first a deutzia blossom, for his hair , temple actor,
 first autumn morning, the mountain snow's wind, arrives,
 first autumn morning , just saying it , feel old,
 first autumn morning , a fever curing, kind of sky,
 first autumn morning , just saying it , lonely,
 first butterfly, don't get caught up , horse dung raking,
 first butterfly, don't get stained, on my straw mat ,
 first butterfly , before long some crow's, bite,
 first butterfly , without formal greeting, entering the alcove,
 first cicada, are you singing for him , buddha's temple,
 first cicada,  look at the floating world , look loo ook ,
 first cicada , on the horse's head, a quick song,
 first cicada , for a quick song sighted, on the post,
 first cicada , he says, while it pisses,
 first day of summer, and like it or not , new summer robes,
 first day of summer, my summer kimono , rustic,
 first day of winter, suddenly, a storm,
 first firefly, how many nights did you sleep, in buddha's flowers ,
 first firefly, why the cold shoulder , it's me ,
 first firefly, though the hand is skillful, slips free,
 first firefly , uncaught by the hand, flies free,
 first firefly , the sky over kyoto, is smoggy ,
 first firefly , carelessly it leaves, kyoto,
 first flowers , boiled mountain millet, sweet nostalgia,
 first frost , the beggar's stove, a welcome sight,
 first frost , flower sellers in a row, hitting their bells,
 first frost , what are you praying for, katydid ,
 first frost , the smiling face, of the tea master,
 first frost , one hates buckwheat noodles, one loves 'em,
 first frost , a woman's voice, recites a prayer,
 first frost , my teeth could crack radishes, up to last year,
 first frost on the grass, gets a dash , sacred sake,
 first hot bath , for my journey's lice, first sin,
 first melon of the season, in her grasp , sleeping child,
 first month , instead of plum blossoms, a blizzard,
 first month , on the crossroads buddha, a red skullcap,
 first month , the fool's half door, an eyesore,
 first month , the plum trees blooming, elsewhere,
 first month , on the servant no sign, of a beard,
 first month , such a night, of bright moon ,
 first month , tonight a night, of plum blossom moon,
 first month , tonight a night, of plum blossoms,
 first month , recording the cash spent, on sake,
 first month , a row of clogs for rent, on the shady hillside,
 first month , at the cat's grave too, plum blossoms,
 first month , even at the outcaste's porch, plum blossoms,
 first month , in a nook of the village, plum blossoms ,
 first month second day, the laziness, begins,
 first month second day , my wrinkled, hands,
 first of the season , the snow too, made into buddha,
 first one of the year, thin as can be , my snow,
 first one to blow, on the hot herb cakes , mount tsukuba's east wind,
 first rain , a typical north country, new year's,
 first rainbow, new leaves in their glory , shinano mountain,
 first snow , on the desktop, a snowball,
 first snow , i see the padded clothes, coming down,
 first snow , a priest chants, his morning prayer,
 first snow , even a lump of it, is buddha,
 first snow , making a buddha of you, is hard too,
 first snow , the outhouse attendant's, little lantern,
 first snow , and now a temple, pilgrimage,
 first snow , and coming down with it, the padded clothes,
 first snow falling, i trust in his hand , bridge by the gate,
 first snow falling , close your mouth, skillet ,
 first snowfall, one two three four, five six people,
 first snowfall, on irises in the eaves, softly softly,
 first snowfall , i say ,  let's go to bed ,
 first snowfall , early morning at my gate, a beggar,
 first snowfall , atop the rice bag, a little lamp,
 first snowfall , in the tree's shade, a shinto flute,
 first snowfall , the rooster's morning crow, at senso temple,
 first snowfall , it too, becomes buddha,
 first snowfall , tomorrow's smoke one, bundle of straw,
 first snowfall , like my worst enemy, damn you ,
 first snowfall , i say but then, go to sleep,
 first snowfall , the crows of kasai, happily caw,
 first snowfall , my home village in a hole, in the wall,
 first snowfall , a big deal for people, in the world,
 first snowfall , this year the voice, is weaker,
 first snowfall , what are you praying for, katydid ,
 first snowfall , the temple walkway, misty dim,
 first snowfall , i'm so lucky the tavern's, next door,
 first snowfall , he shouts in the middle, of pissing,
 first snowfall , from buddha's direction, pure water gushes,
 first snowfall , the worms in my gut, raise a ruckus,
 first snowfall ,  a b c d e f , she practices,
 first snowfall , the worms in my belly, sing,
 first snowfall , in a splendid mood, sir crow,
 first snowfall , in the bamboo evening, sleeping alone,
 first snowfall , i take down my indoor, slippers,
 first snowfall , bordering the outhouse, sumida river,
 first snowfall , for a dog less village, the garbage remover,
 first snowfall , someone has entered, the outhouse,
 first snowfall , soon to be boiled, the playful pig,
 first snowfall , and then soon enough, three or four feet,
 first snowfall , they rise and sing , worms in my gut,
 first snowfall blah blah , people in the world, talk,
 first snowfall blah blah , they stay indoors, the fools,
 first snowfall snowfall , he says, without teeth,
 first spring morning, my 49th year, of blossoms,
 first thing after waking up, spring rain, in my eyes,
 first voice rising, in the evening sky , a mosquito,
 first winter month, tenth day , a tea ceremony,
 first winter month, tenth day , sleeping late,
 first winter month , from behind senso temple, i pray,
 first winter month , dimly in the mist, selling temple cotton,
 first winter rain , songs in the tavern, become ripe,
 first winter rain , going out to buy, dinner,
 first winter rain , the world drowns, in haiku,
 first winter rain , a mad dash, to the mountain house,
 first winter rain , even the warlord's horse, wears his crest,
 fish frolicking, on foot , chrysanthemums,
 five or six horses, cooling down , the withered fields,
 five or six trembling, rice plants , my insect cage,
 fixing the unevenness, in the rice seedling bed , evening rain,
 flanking the highway, on both sides , leftover rice plants,
 flat rice cake , a child uses it, as a big fan,
 fleas thumping, and the gnawing gnawing, silkworms,
 flecked with sand, from the whirlwind , little butterfly,
 fleeing bird, watch out that way's, a pit trap ,
 fleeing bird , every direction it turns, people's voices,
 fleeing the bees, the monkey's restless, eyes,
 fleeing the hell, of thicket ants , tiger moth,
 flies and horseflies, sport with them , leftover rice plants,
 flimsily, the beggar's mustard flowers too, have bloomed,
 flimsily, the morning glories bloom , pure water,
 flitting butterflies , thirty three thousand, three hundred ,
 flitting butterfly, even stagnant water, a spring thing,
 flitting butterfly , thus is buddha's law, in this world,
 flitting butterfly , every corner of my hut, is inspected,
 flitting butterfly , after dinner a temple, pilgrimage,
 flitting fireflies , another annoying night, in the house,
 flitting firefly , don't get tangled, in women's hair ,
 flitting firefly , uncaught by the hand, uncaught again ,
 flitting to the oil lamp, of the pissing place , powdery snow,
 float away, my snow too , chikuma river,
 float sea slug , buddha's law permeates, this world ,
 floating duckweed , appropriate, in this floating world,
 floating forth, on the morning dew, mountain town,
 floating it comes , willow tree, at my gate,
 floating leaves floating leaves, lotus blossom horseflies, feed,
 floating to play, with a bamboo grass boat , shinto shrine,
 flock of sparrows , and not one of them, a stepchild,
 flood waters , bats dangle, from the crossing rope,
 flower guard, at night they're yours , mountain cherry blossoms,
 flowering mustard, drapes the back , my home,
 flowering mustard, barging in blooms , yoshino hill,
 flowering mustard , even on a rainy night, higashi mountains,
 flowering mustard , the sparrows play, with the mouse,
 flowering mustard , the little courtesan, worries about her sleeves,
 flowering mustard , and looking west, zenko temple,
 flowering plume grass, even shaped as a hunting hut , is inviting,
 flowing from the feet, of goddess kannon , pure water,
 flowing in the hut's, gate , the milky way,
 flowing water spells, the character heart , plum blossoms,
 flute melody , thanking the mountain, scarecrow,
 flute pratice , the rice fields one and all, so green ,
 fluttering down, mulch for the field, cherry blossoms,
 fluttering onto, the lacquered umbrella hat , tea leaves,
 fluttering their way, into my head , plum blossoms,
 fly away firefly, my hut's smoky , smoky ,
 fly away quick, quick don't get swatted , fly over there,
 fly on my umbrella hat, from today on, a citizen of edo ,
 flying in formation, right through the town , red dragonflies,
 flying into people, kicking them hard , locusts,
 flying locusts , the willow tree too, grows old,
 flying south, for the slaughter , celestial geese,
 flying swallows , as if there's no turning back, for them,
 flying swallows , wherever there's grass, hail great japan ,
 flying through hoops, titmice, through the trees,
 fog clearing , at my feet, a buddha ,
 foggy rain, foggy nights foggy days , my hut ,
 foggy rain , let the lilies in the desolate field, bloom ,
 follow me to zenko temple , a butterfly, flits,
 following a cloud, he plows , the mountain's hip,
 following behind, the hunter with his bow , a fawn,
 following behind the fawn, a crow, of nara,
 following custom, all have withered , wild chamomile,
 following the man, who shoulders a winnow , red leaves,
 following the times, the fireworks , bigger and bigger ,
 following the times, even my hut's grasses, so young ,
 food channel , between commercials, dinner burns,
 fool cat, though tethered still crying, for love,
 fool cat, on the new year's gift winnow, sound asleep,
 fool cat , putting his whole body, into his yowl,
 fool cat , yet he knows which futon, is his,
 fool cat , eyes returning to where, the chestnut was,
 foolish bird , after molting, what are you thinking ,
 foolish crow, do you think this first snow, is my fault ,
 foolish frog, don't talk nonsense , evening cool,
 foolish wildflower, without a trace, of bitterness,
 foot of the mountain , without a cheer, my new year's bonfire,
 for a great courtier, of the imperial palace , pufferfish soup,
 for a moment, the darkness is lighted , fireworks,
 for a sincere land, even in the next life , rain of the tiger,
 for asakusa's chickens too, a end of year gift , scattering rice,
 for bamboo shoots, a dark night, for bamboo shoots,
 for drinking buddies, the usual new year's pilgrimage , sake shop,
 for each one picked, a puff on the pipe , herbs,
 for eight pennies, the whole family celebrates , summer ice ,
 for every thicket, every thicket , spring rain,
 for every three feet, of mountain's foot , plum blossoms ,
 for festive jelly too, the venerable twelfth day , first winter rain,
 for five or six people, only one , mushroom hunting,
 for generations, from this poor hedge , roses of sharon,
 for just a little while, a sight to see , evening's shrine boats,
 for laughing grandchildren, on new year's day , presents ,
 for me all alone, his sober face , a frog,
 for me and the pine, this damned year too, ends,
 for my defeated chrysanthemum, a second hard look , all alone,
 for my empty belly, the wind blows , billowing clouds,
 for my house, a suitable mountain cuckoo, sings his song,
 for my life too, help arrives , spring blossoms,
 for my winter voice drills,  praise buddha , insomnia,
 for my winter voice drills, chanting praises, to buddha ,
 for new year's, he's decorated his little shop , gatekeeper,
 for one day, it's a famous site , plume grass barn,
 for one penny, one hit on the prayer gong , how cold it is ,
 for one person, it's more than enough , gathered charcoal,
 for our sake enduring, the winter rain , stone buddha,
 for people, and for scarecrows, the day ends,
 for pine and bamboo, it's like olden days , cloth pounding,
 for pure water, go to edo's outskirts , winter seclusion,
 for pure white flowers, it's the fourth month ,  cuckoo ,
 for pure white flowers, fourth month eighth day, has arrived ,
 for singing insects, complaining, is a feat,
 for the baby monkey, a nip of sake , mushroom hunting,
 for the big, chrysanthemum too, autumn ends quickly,
 for the blind priest's head, no, paper fan,
